PS C:\Users\C24692E\Downloads\fcu> & "C:/Program Files/Python312/python.exe" c:/Users/C24692E/Downloads/fcu/new.py
2026-01-26 16:33:09 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:09 - TestDataGenerator - INFO - COMPLETE WATERFALL TEST DATA GENERATION
2026-01-26 16:33:09 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:09 - TestDataGenerator - INFO - Output Directory: output\20260126_163309_Partners_Federal_Credit_Union
2026-01-26 16:33:09 - TestDataGenerator - INFO - Project: Partners Federal Credit Union
2026-01-26 16:33:09 - TestDataGenerator - INFO - Version: 1.0
2026-01-26 16:33:09 - TestDataGenerator - INFO - Loading policy rules from ./input/PolicyArtifacts.xlsx, sheet: Policy Rules
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 1 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 2 with 1 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 3 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 4 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 5 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 6 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 7 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 8 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 9 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 7 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 8 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 9 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 10 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 11 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 12 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 13 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 14 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 15 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 16 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 17 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 18 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 19 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 20 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 21 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 22 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 23 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 24 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 25 with 6 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 26 with 6 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 27 with 6 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 28 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 29 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 30 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 31 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 32 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 33 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 34 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 35 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 36 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 37 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 38 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 39 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 40 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 41 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 42 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 43 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 44 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 45 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 46 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 47 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 48 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 49 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 50 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 51 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 52 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 53 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 54 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 55 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 56 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 57 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 58 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 59 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 60 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 61 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 62 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 63 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 64 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 65 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 66 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App Excl Rule 1 with 1 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App Excl Rule 2 with 1 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App Policy Rule 1 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App Excl Rule 3 with 1 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - ERROR - Error parsing condition '('WS.DTI' <= 0 OR ('WS.DTI' >= 60 and 'WS.DTI' <= 80))': sort mismatch
2026-01-26 16:33:09 - TestDataGenerator - ERROR - Error parsing condition '('WS.VLPTI' <= 0 OR ('WS.VLPTI' >= 20 and 'WS.VLPTI' <= 30))': sort mismatch
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App Policy Rule 2 with 8 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App Policy Rule 3 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded 156 unique policies
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded execution order: 75 policies
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded template: 218 attributes
2026-01-26 16:33:09 - TestDataGenerator - INFO - Building policy dependency graph...
2026-01-26 16:33:09 - TestDataGenerator - INFO - Graph built: 75 nodes, 2152 edges
2026-01-26 16:33:09 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:09 - TestDataGenerator - INFO - POLICY DEPENDENCY ANALYSIS
2026-01-26 16:33:09 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:09 - TestDataGenerator - INFO - [WARNING] Highly connected policies (>5 conflicts):
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - Sec App 1 Policy Rule 30: 66 conflicts
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - Sec App 1 Policy Rule 31: 66 conflicts
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - Sec App 1 Policy Rule 32: 66 conflicts
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - Sec App 1 Policy Rule 2: 65 conflicts
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - Sec App 1 Policy Rule 5: 65 conflicts
2026-01-26 16:33:09 - TestDataGenerator - INFO - [STATS] Most used variables:
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - CustomModels_App_1_Model_1_score: used in 66 policies
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - ClearViewAttr_App_1_Attr_clntr9549: used in 35 policies
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - PRM3_App_1_Attr_ALL7518: used in 25 policies
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - PRM3_App_1_Attr_ILN2320: used in 15 policies
2026-01-26 16:33:09 - TestDataGenerator - INFO -   - PRM3_App_1_Attr_ALL8222: used in 13 policies
2026-01-26 16:33:10 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:10 - TestDataGenerator - INFO - MINIMUM SET COVER ANALYSIS
2026-01-26 16:33:10 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:10 - TestDataGenerator - INFO - [OK] Minimum test cases needed: 66 (vs 75 policies)
2026-01-26 16:33:10 - TestDataGenerator - INFO -   Reduction: 12.0%
2026-01-26 16:33:10 - TestDataGenerator - INFO -   Cluster 1: 6 policies
2026-01-26 16:33:10 - TestDataGenerator - INFO -   Cluster 2: 5 policies
2026-01-26 16:33:10 - TestDataGenerator - INFO -   Cluster 3: 1 policies
2026-01-26 16:33:10 - TestDataGenerator - INFO -   Cluster 4: 1 policies
2026-01-26 16:33:10 - TestDataGenerator - INFO -   Cluster 5: 1 policies
2026-01-26 16:33:10 - TestDataGenerator - INFO -   ... and 61 more clusters
2026-01-26 16:33:10 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:10 - TestDataGenerator - INFO - STARTING COMPLETE WATERFALL GENERATION
2026-01-26 16:33:10 - TestDataGenerator - INFO - Each test case will show:
2026-01-26 16:33:10 - TestDataGenerator - INFO -   ✓ Values that make TARGET policy TRUE
2026-01-26 16:33:10 - TestDataGenerator - INFO -   ✗ Values that make PREVIOUS policies FALSE
2026-01-26 16:33:10 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:10 - TestDataGenerator - INFO -
[1/75] Processing: SecExcl App 1 Rule 1
2026-01-26 16:33:10 - TestDataGenerator - INFO -   [✓✓✓] SAT - Solution found with complete waterfall values
2026-01-26 16:33:10 - TestDataGenerator - INFO -
[2/75] Processing: SecExcl App 1 Rule 2
2026-01-26 16:33:10 - TestDataGenerator - WARNING -     [FIX] Previous policy 'SecExcl App 1 Rule 1' is TRUE with current values - adjusting...
2026-01-26 16:33:10 - TestDataGenerator - INFO -   [✓✓✓] SAT - Solution found with complete waterfall values
2026-01-26 16:33:10 - TestDataGenerator - INFO -
[3/75] Processing: SecExcl App 1 Rule 3
2026-01-26 16:33:10 - TestDataGenerator - WARNING -     [FIX] Previous policy 'SecExcl App 1 Rule 1' is TRUE with current values - adjusting...
2026-01-26 16:33:10 - TestDataGenerator - INFO -   [✓✓✓] SAT - Solution found with complete waterfall values
2026-01-26 16:33:10 - TestDataGenerator - INFO -
[4/75] Processing: SecExcl App 1 Rule 4
2026-01-26 16:33:10 - TestDataGenerator - WARNING -     [FIX] Previous policy 'SecExcl App 1 Rule 1' is TRUE with current values - adjusting...
2026-01-26 16:33:10 - TestDataGenerator - WARNING -     [FIX] Previous policy 'SecExcl App 1 Rule 3' is TRUE with current values - adjusting...
2026-01-26 16:33:10 - TestDataGenerator - INFO -   [✓✓✓] SAT - Solution found with complete waterfall values
2026-01-26 16:33:10 - TestDataGenerator - INFO -
[5/75] Processing: SecExcl App 1 Rule 5
2026-01-26 16:33:10 - TestDataGenerator - WARNING -     [FIX] Previous policy 'SecExcl App 1 Rule 3' is TRUE with current values - adjusting...
